UID,TERM,DFWIS,GRADUATED
55330,201238,0,Yes
55884,201234,3,Yes
47794,201018,4,Yes
40672,201018,1,Yes
27888,201234,1,Yes
566037,201018,1,Yes
15408,202234,10,No
83775,201238,0,Yes
98783,201018,1,Yes
52475,201018,10,No
321759,201234,9,Yes
144962,201018,4,Yes
106518,201124,0,Yes
152724,201128,8,No
154187,201124,0,Yes
158589,201238,9,Yes
180470,201018,1,Yes
213472,201238,5,No
221229,201018,1,Yes
228353,201128,2,Yes
236741,202344,0,No
240480,201674,0,Yes
254952,201018,0,Yes
255636,201018,0,Yes
257549,201234,0,Yes
258267,201018,1,Yes
259296,201018,10,Yes
260208,201018,1,Yes
263168,201018,9,Yes
263176,202014,1,No
265499,201344,0,Yes
265849,201564,0,Yes
267606,201124,26,No
267672,201018,0,Yes
267945,201018,0,Yes
267948,201568,14,Yes
268957,201018,2,Yes
271023,201018,8,Yes
274453,201018,2,No
290003,201458,2,No
290054,201124,1,Yes
544916,201018,19,Yes
298755,201908,0,Yes
300761,201018,1,Yes
301511,201018,0,Yes
302100,201564,1,Yes
307423,201018,0,Yes
308283,201128,7,Yes
310909,201454,9,Yes
312279,201344,9,No
317795,201018,0,Yes
318366,201018,0,Yes
318387,201018,0,Yes
318449,201018,8,No
321805,201124,0,No
324458,201018,0,Yes
329761,201018,1,Yes
333962,201018,6,Yes
334056,201018,0,Yes
334069,201018,7,No
335424,201018,5,No
335427,201018,1,Yes
335682,201018,0,Yes
335934,201018,5,Yes
335945,201018,0,Yes
338857,201018,0,Yes
339303,201128,5,Yes
340263,201018,7,Yes
340394,201124,1,Yes
341638,201018,0,Yes
343635,201018,0,Yes
343818,201018,1,Yes
347244,201018,13,No
347676,201018,3,Yes
350338,201124,0,Yes
354744,201018,8,Yes
355901,201124,14,Yes
356109,201018,0,Yes
358381,201454,0,Yes
358856,201018,9,Yes
360510,201018,0,Yes
362302,201018,2,No
366126,201234,14,Yes
368450,201018,0,Yes
371787,201124,3,Yes
372791,201018,1,Yes
372904,201234,1,No
374075,201904,8,No
374074,201674,0,Yes
375345,201018,1,Yes
375437,201124,2,Yes
376096,201564,0,Yes
376303,201018,1,Yes
376305,201018,0,Yes
377861,201018,0,Yes
377953,201018,0,Yes
379530,201018,6,Yes
379851,201018,3,Yes
380150,201128,6,Yes
380764,201348,0,Yes
381349,201018,1,Yes
381601,201238,0,Yes
382571,201018,18,Yes
383021,201018,0,Yes
383368,201018,4,No
384042,201018,0,Yes
384170,201348,1,Yes
384398,201018,12,No
385024,201018,1,Yes
385821,201018,6,Yes
385920,201018,15,Yes
386312,201018,1,Yes
386968,201018,3,Yes
387050,201018,0,Yes
387688,201018,0,No
387994,201124,0,Yes
522469,201018,1,Yes
522860,201018,1,Yes
523042,201018,0,Yes
523328,201018,0,Yes
523378,201018,0,Yes
523387,201018,0,Yes
524085,201018,1,Yes
524228,201128,0,Yes
524250,201674,0,Yes
524482,201018,2,Yes
524508,201018,1,Yes
524721,201018,0,Yes
524941,201018,2,Yes
527532,201018,0,Yes
527730,201124,1,Yes
527738,201238,4,Yes
527763,201018,0,Yes
528080,201018,0,Yes
528240,201018,1,Yes
530242,201018,0,Yes
530365,201018,1,Yes
530744,201018,6,Yes
530925,201018,0,Yes
531482,201018,2,Yes
531897,201018,7,Yes
533609,201018,4,Yes
534555,201018,1,Yes
536336,201018,2,Yes
537153,201018,0,Yes
537456,201018,2,Yes
538186,201018,0,Yes
538203,201018,4,Yes
538901,201344,9,No
539104,201018,0,Yes
539831,201018,0,Yes
539845,201018,0,Yes
540427,201018,0,Yes
541022,201018,0,Yes
541201,201018,6,Yes
541234,201234,12,No
541242,201018,0,Yes
542581,201018,0,Yes
542704,201018,6,Yes
542950,201018,0,Yes
543016,201564,0,Yes
543256,201018,0,Yes
543432,201018,2,Yes
543446,201018,4,Yes
543453,201124,0,No
543604,201018,11,Yes
543634,201018,0,Yes
543638,201018,15,No
543817,201128,0,Yes
543849,201018,0,Yes
543866,201018,1,Yes
544013,201018,0,Yes
544153,201018,1,Yes
431493,201128,0,No
432957,201018,0,No
354741,201344,1,Yes
350335,201344,2,Yes
447489,201234,0,Yes
343684,201128,14,No
342757,201124,0,Yes
342488,201124,4,No
546235,201018,0,Yes
545448,201018,2,Yes
545351,201018,4,No
545242,201018,7,Yes
546289,201124,8,Yes
546618,201124,0,Yes
546628,201018,0,Yes
546806,201018,2,Yes
546844,201018,0,Yes
546792,201018,3,Yes
546930,201018,6,Yes
546919,201018,1,Yes
547090,201018,0,Yes
547075,201128,0,Yes
547059,201018,0,Yes
547060,201018,1,Yes
547225,201018,12,Yes
547228,201018,1,Yes
547134,201018,0,Yes
547165,201018,1,Yes
304300,201904,0,Yes
467383,201018,0,Yes
467499,201018,0,Yes
467540,201124,2,No
309390,201344,7,No
477492,201018,3,Yes
481282,201018,0,Yes
481283,201234,0,Yes
481542,201564,1,Yes
482801,201018,0,Yes
482802,201018,1,Yes
482821,201018,1,No
484918,201344,1,Yes
321957,201018,5,Yes
321737,201344,6,No
490314,201128,2,Yes
491770,201234,0,No
491799,201344,0,Yes
491804,201018,1,Yes
492147,201018,0,Yes
327751,201564,1,Yes
332899,201234,4,No
333515,201344,0,Yes
334738,201348,1,No
52682,201344,14,Yes
78564,201344,23,Yes
73275,201454,7,Yes
304199,201458,0,No
107188,201018,6,Yes
47003,201018,7,Yes
109748,201788,8,No
211499,201018,2,Yes
289106,201564,18,No
274568,201018,6,Yes
254899,201018,6,Yes
279662,201018,0,Yes
346912,201018,0,Yes
200574,201124,2,Yes
110404,201124,3,No
544564,201018,0,Yes
547646,201018,8,Yes
547725,201018,0,Yes
547865,201018,5,Yes
547984,201018,0,Yes
547990,201018,0,Yes
548296,201018,2,Yes
548378,201018,0,Yes
548926,201018,1,Yes
549299,201234,0,Yes
549320,201018,0,Yes
549380,201018,2,Yes
549487,201018,6,Yes
550065,201234,0,Yes
550555,201018,0,Yes
550727,201018,3,Yes
550750,201018,0,Yes
550751,201018,0,Yes
550801,201018,2,Yes
550820,201018,0,Yes
550851,201128,0,Yes
550852,201018,2,No
550884,201018,1,Yes
550946,201234,1,Yes
550981,201018,0,Yes
551008,201018,0,Yes
551126,201018,2,Yes
551245,201018,1,Yes
551343,201018,1,Yes
551481,201018,6,Yes
551482,201018,9,No
551926,201018,0,Yes
551937,201018,1,Yes
551959,201018,0,Yes
551979,201018,1,Yes
552040,201018,3,Yes
552088,201018,0,Yes
552196,201018,0,Yes
552198,201018,0,Yes
552423,201018,7,Yes
552804,201018,0,Yes
552831,201018,0,Yes
382607,201018,1,Yes
552929,201018,0,Yes
552979,201018,8,Yes
553046,201018,0,Yes
553051,201018,0,Yes
553087,201018,3,Yes
553095,201458,3,Yes
553146,201018,10,No
553175,201018,19,Yes
553252,201018,7,Yes
553403,201018,0,Yes
553444,201018,1,Yes
553575,201018,2,Yes
553612,201018,10,No
553648,201018,0,Yes
553650,201124,4,Yes
553660,201018,1,Yes
553684,201018,1,No
553689,201018,1,Yes
553758,201018,0,Yes
553789,201018,7,Yes
553842,201018,2,Yes
553883,201018,1,Yes
553959,201018,0,Yes
554164,201018,0,Yes
554196,201018,0,Yes
554242,201018,0,Yes
554264,201458,1,Yes
554276,202234,0,No
554369,201018,1,Yes
554397,201018,0,Yes
554407,201124,1,Yes
554575,201018,2,Yes
554611,201018,0,Yes
554641,201018,0,Yes
554704,201018,0,Yes
523022,201018,0,Yes
554759,201018,0,Yes
554784,201124,2,Yes
554849,201018,6,Yes
554852,201018,0,Yes
554853,201018,2,Yes
554867,201124,0,Yes
554869,201124,0,Yes
554935,201018,0,Yes
554948,201018,0,Yes
554954,201018,2,Yes
554958,201018,6,No
555067,201018,0,Yes
555175,201018,3,Yes
555178,201018,0,Yes
555416,201018,0,Yes
555489,201018,1,Yes
555545,201018,0,Yes
555699,201018,8,Yes
555715,201018,0,Yes
555745,201018,2,Yes
555854,201018,6,Yes
555862,201124,1,Yes
555923,201018,0,Yes
555945,201018,4,No
555956,201018,1,Yes
556074,201124,8,Yes
556080,201018,4,Yes
556101,201018,0,Yes
556215,201018,1,Yes
542118,201018,0,Yes
556243,201018,1,Yes
556254,201018,0,Yes
556297,201018,0,Yes
556318,201018,0,Yes
556329,201018,0,Yes
345644,201018,4,Yes
556458,201018,0,Yes
556514,201234,4,Yes
556594,201018,3,Yes
556737,201018,3,Yes
556835,201018,0,Yes
556921,201018,0,Yes
556923,201018,0,Yes
556925,201124,0,Yes
556936,201018,1,Yes
557025,201018,4,Yes
557214,201124,0,Yes
557239,201018,0,Yes
557278,201018,2,Yes
557313,201018,0,Yes
557382,201018,0,Yes
557612,201018,0,Yes
557737,201674,5,Yes
557779,201124,0,Yes
557792,201018,4,Yes
557921,201674,1,Yes
557976,201018,2,Yes
558157,201018,0,Yes
558306,201018,3,Yes
558311,201018,0,Yes
558390,201124,0,Yes
558553,201128,0,No
558716,201018,8,Yes
558739,201124,0,Yes
558968,201018,1,Yes
559248,201018,0,Yes
559253,201124,0,Yes
559422,201018,0,Yes
559490,201018,3,Yes
559779,201018,0,Yes
559943,201018,0,Yes
559949,201018,0,Yes
560000,201018,8,Yes
560121,201124,0,Yes
560133,201018,0,Yes
560533,201018,0,Yes
560633,201018,2,Yes
560634,201018,3,Yes
560637,201124,0,Yes
547413,201018,0,Yes
560685,201018,1,Yes
560692,201124,10,No
560694,201018,1,Yes
560795,201018,13,No
560803,201018,0,Yes
560805,201018,2,Yes
560837,201018,4,Yes
560856,201018,5,Yes
560866,201124,2,Yes
560869,201018,11,Yes
560950,201124,0,Yes
560956,201018,3,Yes
560979,201018,0,Yes
561180,201458,0,Yes
561181,201128,0,Yes
561195,201018,2,Yes
561293,201124,0,Yes
561321,201018,1,Yes
561365,201124,11,Yes
561367,201018,0,Yes
561380,201124,1,Yes
561443,201124,0,Yes
561457,201018,0,Yes
561467,201124,0,Yes
561519,201018,0,Yes
539790,201018,0,Yes
561594,201018,1,Yes
561612,201018,0,Yes
561648,201018,0,Yes
561864,201018,9,Yes
561951,201568,5,No
562279,201018,1,Yes
562666,201124,4,No
562743,201018,6,Yes
562885,201018,2,Yes
562903,201018,0,Yes
563129,201018,0,Yes
563165,201018,1,Yes
563182,201018,5,Yes
563249,201018,0,Yes
563259,201018,18,Yes
563312,201018,3,Yes
563333,201018,3,Yes
563503,201018,13,No
563504,201018,0,Yes
563544,201124,0,Yes
563627,201018,5,Yes
563668,201018,0,Yes
563682,201018,9,Yes
563834,201018,6,Yes
563855,201018,2,Yes
563856,201018,1,Yes
563895,201018,0,Yes
564011,201018,0,Yes
564062,201018,1,Yes
564129,201234,19,No
564162,201018,0,Yes
564204,201018,1,Yes
564236,202124,0,No
564259,201018,2,Yes
564280,201018,0,Yes
564355,201678,3,Yes
564593,201018,0,Yes
564720,201124,6,Yes
564933,201018,2,Yes
564939,201344,0,Yes
564996,201018,2,Yes
565162,201018,0,Yes
565176,201018,0,Yes
565183,201018,0,Yes
565249,201018,0,Yes
565324,201018,1,Yes
565356,201018,0,Yes
565372,201018,12,No
565392,201124,1,Yes
565399,201124,0,Yes
565434,201018,7,No
565444,201018,0,Yes
565588,201018,1,Yes
565653,201124,0,Yes
565660,201018,1,No
565664,201018,0,Yes
565729,201018,1,Yes
565743,201018,0,Yes
565759,201018,8,Yes
565812,201018,0,Yes
565860,201124,0,Yes
565918,201018,0,Yes
566052,201018,3,No
566058,201018,2,Yes
566117,201018,2,Yes
566121,201018,0,Yes
566125,201018,0,Yes
566154,201018,0,Yes
566172,201018,3,No
566213,201018,0,Yes
566243,201018,11,Yes
566257,201454,2,Yes
566291,201018,3,Yes
566300,201018,0,Yes
566332,201018,0,Yes
566465,201018,0,Yes
566687,201018,0,Yes
566690,201018,0,Yes
566705,201124,1,No
566855,201124,0,Yes
567128,201018,7,Yes
567136,201018,1,Yes
567145,201018,16,No
567312,201018,17,Yes
567502,201018,2,Yes
567829,201018,3,Yes
567884,201018,14,No
567890,201018,4,Yes
567954,201018,0,Yes
568006,201018,3,Yes
568009,201018,0,Yes
569041,201124,14,Yes
568048,201018,1,Yes
568110,201018,0,Yes
568121,201018,2,Yes
568128,201018,0,Yes
568293,201018,0,Yes
568324,201018,1,Yes
568349,201018,0,Yes
568356,201018,0,Yes
568363,201018,0,Yes
568371,201018,0,Yes
568395,201018,5,Yes
568430,201018,2,Yes
568431,201454,1,Yes
383185,201018,0,Yes
568573,201018,0,Yes
568614,201018,7,No
568838,201018,0,Yes
568880,201018,0,Yes
568891,201124,1,Yes
568911,201018,1,Yes
568938,201018,0,Yes
568941,201018,0,Yes
569038,201018,0,Yes
569129,201018,0,Yes
569173,201018,2,Yes
569312,201018,0,Yes
569394,201128,1,Yes
569409,201124,1,Yes
569470,202234,0,No
569553,201018,1,Yes
569560,201018,7,Yes
569561,201018,0,Yes
569612,201454,2,Yes
569637,201018,0,Yes
569682,201124,0,Yes
569896,201018,1,Yes
570148,201018,0,Yes
570225,201018,2,Yes
570433,201018,0,Yes
570616,201018,0,Yes
570664,201018,0,Yes
570755,201018,1,Yes
570772,201018,2,Yes
570873,201018,2,Yes
570970,201018,0,Yes
571078,201018,0,Yes
571094,201018,0,Yes
571157,201018,0,No
571198,201018,0,Yes
565775,201018,0,Yes
571206,201018,0,Yes
571233,201018,1,Yes
571243,201018,0,Yes
571598,201018,0,Yes
571602,201124,1,Yes
571629,201018,0,Yes
571657,201018,0,Yes
571660,201018,0,Yes
571671,201018,1,Yes
571741,201018,0,Yes
571776,201018,1,Yes
571863,201018,2,No
571871,201018,0,Yes
572064,201018,0,Yes
572167,201018,2,Yes
572326,201018,0,Yes
572393,201018,1,Yes
572424,201018,0,Yes
572523,201018,5,No
572531,201018,0,Yes
572667,201018,1,Yes
572755,201018,0,Yes
572790,201018,0,Yes
572885,201018,1,Yes
572921,201018,0,Yes
572958,201018,0,Yes
572972,201018,0,Yes
260114,201018,8,Yes
573165,201018,1,Yes
573549,201018,1,Yes
573563,201018,0,Yes
573649,201124,2,Yes
573680,201018,5,Yes
573683,201018,0,Yes
573750,201018,1,Yes
573834,201018,0,Yes
573969,201018,6,Yes
573981,201124,0,Yes
574074,201124,6,Yes
574155,201018,0,Yes
574401,201018,0,Yes
574468,201018,0,Yes
574592,201018,0,Yes
574602,201018,3,Yes
574711,201018,1,Yes
574719,201018,0,Yes
574818,201018,0,Yes
386498,201018,2,Yes
574975,201018,1,Yes
575006,201018,0,Yes
575007,201018,2,Yes
575026,201018,19,Yes
575052,201124,0,Yes
384555,201018,1,Yes
575188,201018,0,Yes
575194,201018,0,Yes
575211,201018,1,Yes
575219,201018,0,Yes
575222,201018,14,No
575231,201018,0,Yes
575242,201018,0,Yes
575250,201018,0,Yes
575254,201018,6,Yes
575269,201018,0,Yes
575363,201018,0,Yes
575496,201018,0,Yes
575615,201018,2,Yes
385168,201018,1,Yes
575660,201018,0,Yes
575728,201018,0,Yes
575760,201018,0,Yes
575790,201018,0,Yes
575845,201018,0,Yes
575850,201018,1,Yes
575856,202124,1,No
575939,201018,0,Yes
575947,201018,0,Yes
575958,201018,1,Yes
575960,201018,3,Yes
576219,201018,0,Yes
576261,201018,1,Yes
576299,201018,4,Yes
576304,201018,0,Yes
576319,201018,5,Yes
576329,201018,0,Yes
576334,201018,12,No
576367,201018,0,Yes
576404,201018,0,Yes
576464,201124,0,Yes
368403,201018,0,Yes
576468,201018,5,Yes
383618,201018,0,Yes
576516,201018,11,No
576517,201018,4,Yes
345959,201018,1,Yes
576530,201018,14,Yes
576598,201018,0,Yes
576615,201018,1,Yes
576629,201018,0,Yes
576642,201018,0,Yes
576661,201124,1,Yes
576663,201018,12,No
576664,201234,0,Yes
576668,201018,0,Yes
576672,201124,0,Yes
576678,201018,4,Yes
576680,201018,1,Yes
576698,201018,1,Yes
576713,201018,0,Yes
576825,201018,1,Yes
576826,201018,5,Yes
576884,201018,0,Yes
576886,201124,0,Yes
576898,201018,0,Yes
576909,201018,1,Yes
576915,201018,2,Yes
576939,201018,3,No
576941,201018,4,Yes
576944,201018,0,Yes
576995,201018,0,Yes
577078,201018,0,Yes
577083,201018,0,Yes
577087,201124,0,Yes
577108,201018,0,Yes
577110,201018,0,Yes
577112,201018,3,Yes
577129,201018,19,Yes
577141,201018,0,Yes
577189,201018,1,Yes
577199,201018,2,Yes
577235,201018,1,Yes
577236,201018,0,Yes
577249,201018,1,Yes
577289,201018,1,Yes
577342,201018,0,Yes
577367,201018,1,Yes
577368,201018,0,Yes
577385,201018,0,Yes
577392,201018,0,Yes
577404,201128,0,Yes
577436,201018,0,Yes
577465,201018,1,Yes
577499,201124,2,Yes
577563,201124,0,Yes
577606,201018,0,Yes
577620,201018,0,Yes
577622,201018,0,Yes
577626,201018,0,Yes
577638,201128,0,Yes
577646,201018,3,Yes
577680,201124,6,Yes
577728,202344,0,No
577786,201018,6,Yes
577794,201018,4,Yes
577795,201018,0,Yes
577811,201018,8,Yes
577824,201018,16,Yes
301407,201018,2,Yes
578036,201018,6,Yes
578037,201018,0,Yes
578048,201018,0,Yes
578228,201018,1,Yes
578230,201234,2,Yes
578286,201018,0,Yes
578325,201124,1,Yes
578327,201018,0,Yes
578351,201018,0,Yes
578399,201018,0,Yes
578685,201018,0,Yes
578711,201018,0,Yes
578740,201018,0,Yes
387672,201018,9,No
578858,201018,0,Yes
578879,201018,0,Yes
578898,201234,5,Yes
578899,201018,4,Yes
578904,201018,0,Yes
578937,201018,0,Yes
579002,201018,0,Yes
579039,201018,0,Yes
579068,201018,16,No
544681,201018,0,Yes
579267,201018,5,No
579313,201124,15,No
579384,201124,10,No
579411,201018,4,Yes
579430,201018,0,Yes
579483,201018,0,Yes
579485,201018,12,Yes
579543,201018,2,Yes
579569,201018,4,Yes
579657,201018,0,Yes
579697,201018,3,Yes
579723,201018,0,Yes
579725,201018,1,Yes
579852,201018,4,Yes
579921,201018,2,Yes
579973,201018,4,Yes
580047,201018,0,Yes
580114,201018,1,Yes
580125,201018,0,Yes
580128,201018,1,Yes
580159,201018,1,Yes
580178,201018,0,Yes
580223,201018,1,Yes
580267,201018,0,Yes
580271,201018,0,Yes
580353,201018,0,Yes
580377,201124,0,Yes
580407,201018,12,Yes
580541,201018,1,Yes
580558,201018,0,Yes
580678,201018,5,No
580700,201018,0,Yes
580745,201018,0,Yes
580890,201018,1,Yes
581041,201018,1,Yes
581049,201128,6,Yes
581128,201018,0,Yes
581171,201018,1,Yes
581193,201018,11,No
581255,201018,0,Yes
581313,201018,0,Yes
581329,201018,2,Yes
581383,201234,0,Yes
581552,201018,0,Yes
581553,201018,0,Yes
581732,201018,6,Yes
581903,201018,0,Yes
581960,201124,5,Yes
581964,201018,0,Yes
581968,201018,0,Yes
582013,201018,0,Yes
582153,201124,0,Yes
582240,201018,2,Yes
582254,201018,1,Yes
582274,201018,2,Yes
582279,201018,1,Yes
582323,201128,8,No
582353,201018,1,Yes
582402,201018,3,Yes
582413,201018,0,Yes
582471,201018,4,Yes
582484,201018,1,Yes
582519,201018,1,Yes
582558,201018,2,Yes
582743,201018,0,Yes
582779,201018,4,No
582809,201018,0,Yes
582839,201018,0,Yes
582869,201018,5,No
582902,201018,0,Yes
582919,201124,0,No
384328,201018,1,Yes
583002,201454,0,Yes
583054,201018,9,No
583100,201018,0,Yes
583156,201018,3,Yes
583160,201018,1,Yes
583166,201018,1,Yes
583177,201238,6,Yes
583179,201018,6,Yes
583189,201018,6,Yes
583217,201018,0,Yes
583275,201018,3,Yes
583309,201018,0,Yes
583332,201018,2,Yes
583351,201018,0,Yes
583387,201018,0,Yes
583399,201458,0,Yes
583402,201018,4,No
583419,201018,0,Yes
583482,201018,2,Yes
583694,201018,6,Yes
583748,201018,0,Yes
583847,201018,1,Yes
583848,201344,0,Yes
583849,201674,1,Yes
583870,201234,0,Yes
583881,201238,0,Yes
583908,201234,0,No
583961,201018,2,Yes
583972,201018,0,Yes
524083,201018,1,Yes
584019,201018,12,No
584032,201018,3,Yes
584113,201018,0,Yes
584270,201018,0,Yes
584271,201018,6,Yes
584274,201018,2,Yes
584278,201018,1,Yes
584301,201128,1,Yes
584320,201018,0,Yes
584398,201018,0,Yes
584403,201018,1,Yes
584418,201018,3,Yes
584514,201018,1,Yes
584589,201018,0,Yes
584683,201018,1,Yes
584709,201018,13,No
584894,201018,2,Yes
584949,201018,0,Yes
584994,201018,4,Yes
585002,201344,5,No
585010,201018,1,Yes
585017,201018,2,Yes
585025,201018,5,Yes
585058,201018,3,Yes
585102,201124,0,Yes
585105,201018,0,Yes
585142,201018,0,No
585144,201018,1,Yes
585172,201018,0,Yes
585191,201124,0,Yes
585198,201018,5,Yes
585213,201018,1,Yes
585235,201454,0,Yes
585239,201018,4,Yes
585340,201018,0,Yes
585396,201018,2,Yes
585418,201018,0,Yes
585524,201124,0,Yes
585660,201018,2,Yes
585715,201018,0,Yes
585726,201018,0,Yes
585759,201018,7,Yes
585818,201018,0,Yes
585827,201018,0,Yes
585870,201018,17,No
388013,201018,0,Yes
