UID,TERM,FGEN,GRADUATED
55330,201238,No,Yes
55884,201234,No,Yes
47794,201018,No,Yes
40672,201018,No,Yes
27888,201234,Yes,Yes
566037,201018,Yes,Yes
15408,202234,Yes,No
83775,201238,No,Yes
98783,201018,No,Yes
52475,201018,No,No
321759,201234,No,Yes
144962,201018,No,Yes
106518,201124,No,Yes
152724,201128,Yes,No
154187,201124,No,Yes
158589,201238,No,Yes
180470,201018,No,Yes
213472,201238,No,No
221229,201018,No,Yes
228353,201128,No,Yes
236741,202344,No,No
240480,201674,No,Yes
254952,201018,No,Yes
255636,201018,No,Yes
257549,201234,No,Yes
258267,201018,No,Yes
259296,201018,Yes,Yes
260208,201018,No,Yes
263168,201018,No,Yes
263176,202014,No,No
265499,201344,No,Yes
265849,201564,No,Yes
267606,201124,No,No
267672,201018,No,Yes
267945,201018,No,Yes
267948,201568,No,Yes
268957,201018,No,Yes
271023,201018,No,Yes
274453,201018,No,No
290003,201458,No,No
290054,201124,Yes,Yes
544916,201018,No,Yes
298755,201908,No,Yes
300761,201018,No,Yes
301511,201018,No,Yes
302100,201564,No,Yes
307423,201018,Yes,Yes
308283,201128,No,Yes
310909,201454,No,Yes
312279,201344,No,No
317795,201018,No,Yes
318366,201018,No,Yes
318387,201018,No,Yes
318449,201018,Yes,No
321805,201124,Yes,No
324458,201018,No,Yes
329761,201018,Yes,Yes
333962,201018,No,Yes
334056,201018,No,Yes
334069,201018,No,No
335424,201018,No,No
335427,201018,No,Yes
335682,201018,No,Yes
335934,201018,No,Yes
335945,201018,Yes,Yes
338857,201018,No,Yes
339303,201128,No,Yes
340263,201018,No,Yes
340394,201124,No,Yes
341638,201018,No,Yes
343635,201018,No,Yes
343818,201018,No,Yes
347244,201018,No,No
347676,201018,No,Yes
350338,201124,No,Yes
354744,201018,No,Yes
355901,201124,No,Yes
356109,201018,No,Yes
358381,201454,No,Yes
358856,201018,No,Yes
360510,201018,No,Yes
362302,201018,Yes,No
366126,201234,No,Yes
368450,201018,No,Yes
371787,201124,No,Yes
372791,201018,No,Yes
372904,201234,No,No
374075,201904,No,No
374074,201674,No,Yes
375345,201018,No,Yes
375437,201124,No,Yes
376096,201564,No,Yes
376303,201018,No,Yes
376305,201018,No,Yes
377861,201018,No,Yes
377953,201018,No,Yes
379530,201018,No,Yes
379851,201018,No,Yes
380150,201128,No,Yes
380764,201348,No,Yes
381349,201018,No,Yes
381601,201238,Yes,Yes
382571,201018,No,Yes
383021,201018,No,Yes
383368,201018,Yes,No
384042,201018,No,Yes
384170,201348,No,Yes
384398,201018,No,No
385024,201018,No,Yes
385821,201018,No,Yes
385920,201018,No,Yes
386312,201018,No,Yes
386968,201018,No,Yes
387050,201018,No,Yes
387688,201018,No,No
387994,201124,No,Yes
522469,201018,No,Yes
522860,201018,No,Yes
523042,201018,No,Yes
523328,201018,Yes,Yes
523378,201018,Yes,Yes
523387,201018,Yes,Yes
524085,201018,No,Yes
