UID,TERM,LOAN,GRADUATED
55330,201238,23078.0,Yes
55884,201234,9750.0,Yes
47794,201018,4668.0,Yes
40672,201018,4168.0,Yes
27888,201234,6750.0,Yes
144962,201018,6750.0,Yes
152724,201128,5500.0,No
154187,201124,6650.0,Yes
158589,201238,12500.0,Yes
180470,201018,6750.0,Yes
213472,201238,8350.0,No
228353,201128,10500.0,Yes
236741,202344,6250.0,No
240480,201674,7650.0,Yes
254952,201018,10924.0,Yes
255636,201018,3650.0,Yes
257549,201234,5750.0,Yes
263168,201018,6000.0,Yes
263176,202014,18232.0,No
265499,201344,3250.0,Yes
265849,201564,6250.0,Yes
267672,201018,9800.0,Yes
267945,201018,17500.0,Yes
268957,201018,0.0,Yes
271023,201018,14250.0,Yes
274453,201018,6250.0,No
290003,201458,5500.0,No
290054,201124,4150.0,Yes
544916,201018,0.0,Yes
298755,201908,7900.0,Yes
300761,201018,9500.0,Yes
301511,201018,10500.0,Yes
307423,201018,8050.0,Yes
308283,201128,11149.0,Yes
310909,201454,6249.0,Yes
312279,201344,5727.0,No
318366,201018,9330.0,Yes
318387,201018,4250.0,Yes
318449,201018,6250.0,No
321805,201124,6725.0,No
324458,201018,6750.0,Yes
329761,201018,6750.0,Yes
334056,201018,10970.0,Yes
334069,201018,1000.0,No
335682,201018,3500.0,Yes
335945,201018,3227.0,Yes
340263,201018,15811.0,Yes
340394,201124,6650.0,Yes
341638,201018,9500.0,Yes
343635,201018,2750.0,Yes
343818,201018,8000.0,Yes
347676,201018,6250.0,Yes
350338,201124,6650.0,Yes
354744,201018,3750.0,Yes
355901,201124,6275.0,Yes
358856,201018,18044.0,Yes
360510,201018,6250.0,Yes
371787,201124,6750.0,Yes
372791,201018,6250.0,Yes
372904,201234,12891.0,No
374075,201904,2750.0,No
374074,201674,2750.0,Yes
375345,201018,8750.0,Yes
376303,201018,4250.0,Yes
376305,201018,4250.0,Yes
377861,201018,6250.0,Yes
377953,201018,11000.0,Yes
379530,201018,6250.0,Yes
379851,201018,12750.0,Yes
380150,201128,10565.0,Yes
380764,201348,12500.0,Yes
381349,201018,13283.0,Yes
383368,201018,6650.0,No
384042,201018,4250.0,Yes
384398,201018,0.0,No
385024,201018,0.0,Yes
385920,201018,5500.0,Yes
386312,201018,2750.0,Yes
386968,201018,3750.0,Yes
387688,201018,6650.0,No
387994,201124,6750.0,Yes
522469,201018,3250.0,Yes
522860,201018,9354.0,Yes
523042,201018,5750.0,Yes
523328,201018,8250.0,Yes
523378,201018,6250.0,Yes
523387,201018,4750.0,Yes
524085,201018,4167.0,Yes
524228,201128,4250.0,Yes
524482,201018,12500.0,Yes
524508,201018,3250.0,Yes
527532,201018,6750.0,Yes
527730,201124,5750.0,Yes
527738,201238,6999.0,Yes
527763,201018,10750.0,Yes
528240,201018,4250.0,Yes
530242,201018,10258.0,Yes
531482,201018,12500.0,Yes
531897,201018,3250.0,Yes
533609,201018,15749.0,Yes
534555,201018,3750.0,Yes
536336,201018,8749.0,Yes
537153,201018,18039.0,Yes
537456,201018,8250.0,Yes
538203,201018,7250.0,Yes
538901,201344,3167.0,No
539831,201018,3750.0,Yes
541234,201234,6250.0,No
543016,201564,6250.0,Yes
543256,201018,10750.0,Yes
543432,201018,6750.0,Yes
543446,201018,9850.0,Yes
543453,201124,3150.0,No
543604,201018,6750.0,Yes
543638,201018,10096.0,No
543817,201128,4671.0,Yes
543866,201018,8111.0,Yes
544153,201018,4250.0,Yes
432957,201018,1750.0,No
354741,201344,9250.0,Yes
350335,201344,3250.0,Yes
447489,201234,2250.0,Yes
342757,201124,3150.0,Yes
342488,201124,3150.0,No
546235,201018,7599.0,Yes
545448,201018,3750.0,Yes
545242,201018,6750.0,Yes
546618,201124,14751.0,Yes
546628,201018,6150.0,Yes
546844,201018,11460.0,Yes
546792,201018,6750.0,Yes
546930,201018,4250.0,Yes
546919,201018,8863.0,Yes
547090,201018,5250.0,Yes
547075,201128,6250.0,Yes
547059,201018,3250.0,Yes
547060,201018,3750.0,Yes
547225,201018,12750.0,Yes
547228,201018,6249.0,Yes
547134,201018,3750.0,Yes
547165,201018,3750.0,Yes
304300,201904,2750.0,Yes
309390,201344,6250.0,No
481542,201564,10784.0,Yes
482801,201018,7000.0,Yes
482802,201018,11150.0,Yes
482821,201018,6150.0,No
484918,201344,9036.0,Yes
321957,201018,4668.0,Yes
491770,201234,14403.0,No
491799,201344,3250.0,Yes
491804,201018,5857.0,Yes
492147,201018,11250.0,Yes
332899,201234,6250.0,No
333515,201344,6250.0,Yes
52682,201344,6250.0,Yes
73275,201454,6250.0,Yes
107188,201018,4168.0,Yes
47003,201018,11500.0,Yes
211499,201018,15125.0,Yes
254899,201018,14560.0,Yes
346912,201018,6250.0,Yes
547646,201018,6249.0,Yes
547725,201018,2000.0,Yes
547865,201018,6250.0,Yes
547984,201018,500.0,Yes
547990,201018,4168.0,Yes
548296,201018,3750.0,Yes
549299,201234,0.0,Yes
549320,201018,3250.0,Yes
550727,201018,15250.0,Yes
550750,201018,4250.0,Yes
550751,201018,4250.0,Yes
550851,201128,5500.0,Yes
550852,201018,11850.0,No
550884,201018,6750.0,Yes
550946,201234,6750.0,Yes
550981,201018,4250.0,Yes
551008,201018,8750.0,Yes
551126,201018,7175.0,Yes
551482,201018,4750.0,No
551926,201018,2750.0,Yes
551937,201018,4250.0,Yes
551959,201018,21782.0,Yes
551979,201018,2750.0,Yes
552088,201018,12300.0,Yes
552929,201018,0.0,Yes
552979,201018,6250.0,Yes
553046,201018,4250.0,Yes
553051,201018,3750.0,Yes
553095,201458,5750.0,Yes
553146,201018,8250.0,No
553175,201018,10750.0,Yes
553252,201018,12500.0,Yes
553403,201018,4250.0,Yes
553444,201018,3250.0,Yes
553575,201018,8100.0,Yes
553612,201018,7250.0,No
553648,201018,1197.0,Yes
553660,201018,6250.0,Yes
553684,201018,3727.0,No
553689,201018,8749.0,Yes
553758,201018,4150.0,Yes
553842,201018,6750.0,Yes
553883,201018,3750.0,Yes
553959,201018,13561.0,Yes
554264,201458,10614.0,Yes
554276,202234,5250.0,No
554369,201018,6250.0,Yes
554397,201018,3750.0,Yes
554611,201018,0.0,Yes
554641,201018,3250.0,Yes
523022,201018,3749.0,Yes
554759,201018,1680.0,Yes
554784,201124,13108.0,Yes
554852,201018,18000.0,Yes
554935,201018,4250.0,Yes
554954,201018,2750.0,Yes
555175,201018,7060.0,Yes
555545,201018,3750.0,Yes
555699,201018,7500.0,Yes
555715,201018,3750.0,Yes
555854,201018,10569.0,Yes
555862,201124,3750.0,Yes
555923,201018,6750.0,Yes
555945,201018,3750.0,No
555956,201018,4250.0,Yes
556074,201124,6750.0,Yes
556215,201018,12625.0,Yes
556243,201018,3750.0,Yes
556297,201018,6750.0,Yes
556318,201018,10250.0,Yes
556329,201018,3250.0,Yes
345644,201018,17734.0,Yes
556458,201018,6650.0,Yes
556594,201018,3750.0,Yes
556737,201018,4250.0,Yes
556921,201018,10500.0,Yes
556925,201124,10438.0,Yes
556936,201018,9250.0,Yes
557239,201018,5749.0,Yes
557278,201018,11000.0,Yes
557382,201018,3250.0,Yes
557612,201018,3750.0,Yes
557976,201018,11250.0,Yes
558157,201018,4250.0,Yes
558306,201018,6249.0,Yes
558716,201018,3125.0,Yes
558739,201124,6650.0,Yes
558968,201018,2250.0,Yes
559248,201018,6250.0,Yes
559422,201018,4250.0,Yes
559490,201018,7250.0,Yes
559943,201018,13289.0,Yes
559949,201018,4560.0,Yes
560000,201018,12512.0,Yes
560121,201124,2750.0,Yes
560533,201018,2750.0,Yes
560634,201018,3900.0,Yes
560685,201018,3250.0,Yes
560692,201124,2750.0,No
560694,201018,12696.0,Yes
560803,201018,11250.0,Yes
560837,201018,3750.0,Yes
560866,201124,3750.0,Yes
560956,201018,6250.0,Yes
561180,201458,5500.0,Yes
561195,201018,3750.0,Yes
561293,201124,8650.0,Yes
561365,201124,7250.0,Yes
561367,201018,8307.0,Yes
561380,201124,7793.0,Yes
561443,201124,3250.0,Yes
561457,201018,3749.0,Yes
561612,201018,4250.0,Yes
561648,201018,3250.0,Yes
561864,201018,9250.0,Yes
561951,201568,4626.0,No
562666,201124,7521.0,No
562743,201018,8950.0,Yes
562885,201018,3750.0,Yes
562903,201018,13000.0,Yes
563129,201018,3250.0,Yes
563165,201018,4750.0,Yes
563182,201018,3750.0,Yes
563249,201018,2150.0,Yes
563312,201018,6749.0,Yes
563503,201018,6249.0,No
563504,201018,3750.0,Yes
563627,201018,9250.0,Yes
563682,201018,6750.0,Yes
563834,201018,11295.0,Yes
563855,201018,10516.0,Yes
563856,201018,6250.0,Yes
563895,201018,12539.0,Yes
564204,201018,9250.0,Yes
564259,201018,16250.0,Yes
564355,201678,6250.0,Yes
564720,201124,6750.0,Yes
564933,201018,2568.0,Yes
564939,201344,6250.0,Yes
564996,201018,11750.0,Yes
565162,201018,3250.0,Yes
565176,201018,4250.0,Yes
565249,201018,9610.0,Yes
565372,201018,3750.0,No
565392,201124,6650.0,Yes
565399,201124,3750.0,Yes
565434,201018,12500.0,No
565444,201018,3750.0,Yes
565588,201018,3250.0,Yes
565660,201018,5150.0,No
565664,201018,2750.0,Yes
565860,201124,4250.0,Yes
566052,201018,481.0,No
566058,201018,3750.0,Yes
566117,201018,2750.0,Yes
566125,201018,7857.0,Yes
566172,201018,4377.0,No
566300,201018,3250.0,Yes
566332,201018,2500.0,Yes
566465,201018,5750.0,Yes
566687,201018,4250.0,Yes
566690,201018,6750.0,Yes
566705,201124,4166.0,No
566855,201124,2750.0,Yes
567128,201018,8250.0,Yes
567145,201018,3750.0,No
567502,201018,5250.0,Yes
567884,201018,5750.0,No
567890,201018,5500.0,Yes
568006,201018,5750.0,Yes
568009,201018,2750.0,Yes
569041,201124,15190.0,Yes
568048,201018,1929.0,Yes
568110,201018,8000.0,Yes
568121,201018,4250.0,Yes
568128,201018,1789.0,Yes
568293,201018,2250.0,Yes
568324,201018,7795.0,Yes
568363,201018,7121.0,Yes
568371,201018,5793.0,Yes
568395,201018,12250.0,Yes
568430,201018,5150.0,Yes
568431,201454,4750.0,Yes
383185,201018,639.0,Yes
568573,201018,3750.0,Yes
568614,201018,3944.0,No
568838,201018,6750.0,Yes
568880,201018,500.0,Yes
568891,201124,13550.0,Yes
568911,201018,7750.0,Yes
568941,201018,3150.0,Yes
569038,201018,19750.0,Yes
569394,201128,4250.0,Yes
569409,201124,10810.0,Yes
569612,201454,4810.0,Yes
569637,201018,10582.0,Yes
569682,201124,6350.0,Yes
569896,201018,6250.0,Yes
570148,201018,3749.0,Yes
570225,201018,9166.0,Yes
570664,201018,3750.0,Yes
570873,201018,12445.0,Yes
570970,201018,5150.0,Yes
571094,201018,4062.0,Yes
571157,201018,5150.0,No
565775,201018,7900.0,Yes
571206,201018,3750.0,Yes
571233,201018,6750.0,Yes
571243,201018,5750.0,Yes
571598,201018,7850.0,Yes
571629,201018,6650.0,Yes
