UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
47794,201018,7133.0,Yes
40672,201018,2586.0,Yes
27888,201234,2923.0,Yes
144962,201018,4472.0,Yes
154187,201124,6320.0,Yes
180470,201018,4758.0,Yes
213472,201238,8002.0,No
236741,202344,8868.0,No
240480,201674,5351.0,Yes
254952,201018,1500.0,Yes
255636,201018,2100.0,Yes
257549,201234,7048.0,Yes
263176,202014,6568.0,No
265499,201344,1248.0,Yes
265849,201564,2988.0,Yes
267672,201018,3885.0,Yes
268957,201018,1659.0,Yes
274453,201018,2779.0,No
290003,201458,3365.0,No
290054,201124,3720.0,Yes
301511,201018,6733.0,Yes
302100,201564,3339.0,Yes
307423,201018,7463.0,Yes
308283,201128,1550.0,Yes
318449,201018,6733.0,No
321805,201124,6982.0,No
324458,201018,4572.0,Yes
329761,201018,7133.0,Yes
335427,201018,5057.0,Yes
335682,201018,3169.0,Yes
335945,201018,6733.0,Yes
340263,201018,500.0,Yes
340394,201124,4437.0,Yes
343635,201018,2088.0,Yes
347244,201018,3566.0,No
347676,201018,4538.0,Yes
350338,201124,5332.0,Yes
355901,201124,6007.0,Yes
358856,201018,1550.0,Yes
360510,201018,1853.0,Yes
372791,201018,7133.0,Yes
372904,201234,3622.0,No
375437,201124,6320.0,Yes
376303,201018,5654.0,Yes
376305,201018,5654.0,Yes
377861,201018,1600.0,Yes
377953,201018,500.0,Yes
379530,201018,2971.0,Yes
383368,201018,5900.0,No
384042,201018,1850.0,Yes
384170,201348,705.0,Yes
384398,201018,0.0,No
385821,201018,2904.0,Yes
387688,201018,2800.0,No
387994,201124,7382.0,Yes
522469,201018,4964.0,Yes
523328,201018,4190.0,Yes
523378,201018,4171.0,Yes
523387,201018,3599.0,Yes
524085,201018,3275.0,Yes
524250,201674,5828.0,Yes
524508,201018,6213.0,Yes
527738,201238,6623.0,Yes
528080,201018,500.0,Yes
531897,201018,0.0,Yes
533609,201018,1400.0,Yes
538901,201344,6304.0,No
539831,201018,500.0,Yes
