UID,TERM,PELL,GRADUATED
47794,201018,2775.0,Yes
40672,201018,1100.0,Yes
27888,201234,2775.0,Yes
144962,201018,1700.0,Yes
154187,201124,2775.0,Yes
180470,201018,800.0,Yes
213472,201238,1950.0,No
236741,202344,3698.0,No
240480,201674,2083.0,Yes
254952,201018,1000.0,Yes
255636,201018,1600.0,Yes
257549,201234,2775.0,Yes
263176,202014,1198.0,No
265499,201344,1148.0,Yes
265849,201564,2888.0,Yes
267672,201018,1700.0,Yes
268957,201018,694.0,Yes
274453,201018,850.0,No
290003,201458,2865.0,No
290054,201124,950.0,Yes
301511,201018,2775.0,Yes
302100,201564,0.0,Yes
307423,201018,2775.0,Yes
308283,201128,1300.0,Yes
318449,201018,2775.0,No
321805,201124,2775.0,No
324458,201018,1800.0,Yes
329761,201018,2775.0,Yes
335427,201018,2775.0,Yes
335945,201018,2775.0,Yes
340394,201124,700.0,Yes
347244,201018,1387.0,No
347676,201018,1350.0,Yes
350338,201124,2550.0,Yes
355901,201124,1400.0,Yes
358856,201018,1050.0,Yes
372791,201018,2775.0,Yes
372904,201234,2050.0,No
375437,201124,2775.0,Yes
376303,201018,2775.0,Yes
376305,201018,2775.0,Yes
377861,201018,1150.0,Yes
383368,201018,2450.0,No
384042,201018,1350.0,Yes
384170,201348,705.0,Yes
384398,201018,0.0,No
385821,201018,725.0,Yes
387688,201018,2300.0,No
387994,201124,2775.0,Yes
522469,201018,588.0,Yes
523328,201018,1150.0,Yes
523378,201018,1600.0,Yes
523387,201018,1500.0,Yes
524085,201018,2775.0,Yes
524250,201674,2908.0,Yes
524508,201018,2775.0,Yes
527738,201238,2775.0,Yes
533609,201018,900.0,Yes
538901,201344,2823.0,No
541234,201234,1150.0,No
543256,201018,277.0,Yes
543453,201124,2350.0,No
543604,201018,2775.0,Yes
543634,201018,2775.0,Yes
543638,201018,588.0,No
543866,201018,277.0,Yes
544013,201018,2775.0,Yes
354741,201344,1498.0,Yes
350335,201344,2823.0,Yes
447489,201234,650.0,Yes
342757,201124,2550.0,Yes
545448,201018,750.0,Yes
545242,201018,2775.0,Yes
546289,201124,2550.0,Yes
546792,201018,400.0,Yes
546930,201018,1125.0,Yes
546919,201018,2600.0,Yes
547059,201018,2775.0,Yes
547228,201018,863.0,Yes
309390,201344,2823.0,No
482821,201018,2775.0,No
321957,201018,2775.0,Yes
321737,201344,2823.0,No
490314,201128,2775.0,Yes
327751,201564,2888.0,Yes
332899,201234,2775.0,No
333515,201344,2823.0,Yes
52682,201344,1049.0,Yes
73275,201454,1440.0,Yes
109748,201788,659.0,No
289106,201564,2513.0,No
200574,201124,438.0,Yes
547865,201018,2775.0,Yes
550750,201018,2700.0,Yes
550751,201018,2750.0,Yes
550851,201128,2350.0,Yes
550884,201018,1650.0,Yes
550946,201234,2775.0,Yes
551008,201018,2775.0,Yes
551126,201018,2775.0,Yes
551245,201018,277.0,Yes
551979,201018,2775.0,Yes
553095,201458,2865.0,Yes
553252,201018,2082.0,Yes
553444,201018,700.0,Yes
553612,201018,2050.0,No
553684,201018,2775.0,No
553842,201018,2775.0,Yes
553883,201018,1100.0,Yes
554164,201018,2775.0,Yes
554264,201458,2865.0,Yes
554276,202234,1123.0,No
554407,201124,2775.0,Yes
554641,201018,850.0,Yes
554759,201018,2775.0,Yes
554849,201018,2750.0,Yes
554853,201018,1050.0,Yes
555178,201018,2775.0,Yes
555489,201018,2750.0,Yes
555854,201018,2775.0,Yes
555945,201018,2775.0,No
555956,201018,2450.0,Yes
556074,201124,2775.0,Yes
556458,201018,2775.0,Yes
556594,201018,1850.0,Yes
557792,201018,2550.0,Yes
558306,201018,2775.0,Yes
558390,201124,2000.0,Yes
558553,201128,0.0,No
560000,201018,2350.0,Yes
560133,201018,2775.0,Yes
560533,201018,2775.0,Yes
560837,201018,2550.0,Yes
560956,201018,2000.0,Yes
561180,201458,2865.0,Yes
561365,201124,2775.0,Yes
561380,201124,2775.0,Yes
561648,201018,2750.0,Yes
562666,201124,1050.0,No
563129,201018,1150.0,Yes
563249,201018,2750.0,Yes
563312,201018,2081.0,Yes
563333,201018,2500.0,Yes
563503,201018,2775.0,No
563668,201018,1900.0,Yes
563682,201018,2775.0,Yes
563855,201018,277.0,Yes
563856,201018,2750.0,Yes
564204,201018,1400.0,Yes
564720,201124,2750.0,Yes
564933,201018,2775.0,Yes
564939,201344,1598.0,Yes
564996,201018,2775.0,Yes
565434,201018,2775.0,No
565588,201018,950.0,Yes
566125,201018,350.0,Yes
566172,201018,2300.0,No
566300,201018,1050.0,Yes
566690,201018,1100.0,Yes
567145,201018,2100.0,No
567502,201018,2300.0,Yes
567829,201018,2600.0,Yes
567884,201018,2775.0,No
567890,201018,1300.0,Yes
567954,201018,2775.0,Yes
568006,201018,2775.0,Yes
