UID,TERM,PLU_SCHOLARSHIP,GRADUATED
55884,201234,6706.0,Yes
47794,201018,2066.0,Yes
40672,201018,0.0,Yes
27888,201234,7000.0,Yes
566037,201018,8755.0,Yes
15408,202234,6824.0,No
98783,201018,915.0,Yes
144962,201018,5227.0,Yes
154187,201124,0.0,Yes
180470,201018,4000.0,Yes
213472,201238,5500.0,No
221229,201018,3000.0,Yes
228353,201128,6970.0,Yes
240480,201674,8860.0,Yes
254952,201018,7094.0,Yes
255636,201018,8867.0,Yes
257549,201234,7000.0,Yes
258267,201018,5840.0,Yes
260208,201018,3000.0,Yes
263168,201018,1500.0,Yes
263176,202014,5782.0,No
265499,201344,4305.0,Yes
265849,201564,10000.0,Yes
267672,201018,5000.0,Yes
274453,201018,0.0,No
290003,201458,9148.0,No
290054,201124,5000.0,Yes
544916,201018,0.0,Yes
298755,201908,15650.0,Yes
300761,201018,7000.0,Yes
307423,201018,6000.0,Yes
317795,201018,11500.0,Yes
318366,201018,8067.0,Yes
318387,201018,8500.0,Yes
318449,201018,3250.0,No
321805,201124,2500.0,No
324458,201018,5925.0,Yes
329761,201018,2046.0,Yes
333962,201018,4000.0,Yes
334056,201018,8934.0,Yes
334069,201018,8000.0,No
335427,201018,3500.0,Yes
335682,201018,5280.0,Yes
335934,201018,0.0,Yes
335945,201018,6000.0,Yes
338857,201018,3650.0,Yes
339303,201128,0.0,Yes
340263,201018,1007.0,Yes
340394,201124,4500.0,Yes
341638,201018,5147.0,Yes
343635,201018,8000.0,Yes
343818,201018,7500.0,Yes
347676,201018,5000.0,Yes
350338,201124,4500.0,Yes
354744,201018,2500.0,Yes
356109,201018,5000.0,Yes
358381,201454,4523.0,Yes
358856,201018,500.0,Yes
360510,201018,0.0,Yes
368450,201018,8000.0,Yes
371787,201124,4990.0,Yes
372791,201018,5500.0,Yes
372904,201234,6500.0,No
374075,201904,5408.0,No
374074,201674,4885.0,Yes
375437,201124,2500.0,Yes
376096,201564,4950.0,Yes
376303,201018,5000.0,Yes
376305,201018,5000.0,Yes
377861,201018,8500.0,Yes
377953,201018,6146.0,Yes
379530,201018,2769.0,Yes
379851,201018,6499.0,Yes
380150,201128,5164.0,Yes
381349,201018,3101.0,Yes
383021,201018,5000.0,Yes
383368,201018,2500.0,No
384042,201018,8657.0,Yes
385024,201018,0.0,Yes
386312,201018,267.0,Yes
386968,201018,5000.0,Yes
387050,201018,0.0,Yes
387688,201018,5442.0,No
387994,201124,1056.0,Yes
522469,201018,4070.0,Yes
522860,201018,6000.0,Yes
523042,201018,9350.0,Yes
523328,201018,4000.0,Yes
523378,201018,6000.0,Yes
523387,201018,7449.0,Yes
524085,201018,4155.0,Yes
524228,201128,8500.0,Yes
524250,201674,7500.0,Yes
524482,201018,6000.0,Yes
524508,201018,7000.0,Yes
524721,201018,8731.0,Yes
524941,201018,9100.0,Yes
527532,201018,8830.0,Yes
527730,201124,7599.0,Yes
527738,201238,6000.0,Yes
527763,201018,5357.0,Yes
528080,201018,7337.0,Yes
528240,201018,7500.0,Yes
530242,201018,7701.0,Yes
530365,201018,5499.0,Yes
530744,201018,5000.0,Yes
530925,201018,6000.0,Yes
531897,201018,8132.0,Yes
533609,201018,286.0,Yes
534555,201018,7500.0,Yes
536336,201018,0.0,Yes
537153,201018,0.0,Yes
537456,201018,6000.0,Yes
538186,201018,8500.0,Yes
538203,201018,7000.0,Yes
538901,201344,6832.0,No
539104,201018,0.0,Yes
539831,201018,9390.0,Yes
539845,201018,3650.0,Yes
540427,201018,9600.0,Yes
541022,201018,7000.0,Yes
541242,201018,7000.0,Yes
542581,201018,0.0,Yes
542704,201018,0.0,Yes
542950,201018,8500.0,Yes
543016,201564,8391.0,Yes
543256,201018,9939.0,Yes
543432,201018,4055.0,Yes
543446,201018,6000.0,Yes
543453,201124,5000.0,No
543604,201018,1500.0,Yes
543634,201018,9212.0,Yes
543638,201018,8605.0,No
543817,201128,9000.0,Yes
543849,201018,8000.0,Yes
