UID,TERM,WORK_STUDY,GRADUATED
55884,201234,1900.0,Yes
27888,201234,1800.0,Yes
566037,201018,1750.0,Yes
144962,201018,1750.0,Yes
180470,201018,3550.0,Yes
213472,201238,300.0,No
228353,201128,1750.0,Yes
255636,201018,1750.0,Yes
257549,201234,3889.0,Yes
265499,201344,1737.0,Yes
265849,201564,4275.0,Yes
267672,201018,1750.0,Yes
290054,201124,1750.0,Yes
300761,201018,1750.0,Yes
302100,201564,1900.0,Yes
308283,201128,994.0,Yes
312279,201344,1650.0,No
318366,201018,2572.0,Yes
318387,201018,3469.0,Yes
318449,201018,1750.0,No
321805,201124,1750.0,No
324458,201018,1750.0,Yes
329761,201018,1750.0,Yes
334056,201018,1435.0,Yes
340263,201018,3500.0,Yes
340394,201124,1750.0,Yes
343635,201018,1750.0,Yes
343818,201018,0.0,Yes
355901,201124,1750.0,Yes
358856,201018,1000.0,Yes
360510,201018,1750.0,Yes
371787,201124,1750.0,Yes
374075,201904,1380.0,No
376303,201018,1750.0,Yes
376305,201018,1750.0,Yes
377861,201018,2610.0,Yes
379530,201018,1750.0,Yes
380150,201128,1750.0,Yes
381349,201018,1750.0,Yes
384042,201018,2895.0,Yes
384398,201018,0.0,No
385821,201018,1750.0,Yes
386312,201018,0.0,Yes
387688,201018,1750.0,No
387994,201124,1750.0,Yes
522469,201018,2500.0,Yes
523328,201018,1750.0,Yes
524085,201018,1750.0,Yes
524228,201128,967.0,Yes
524508,201018,1750.0,Yes
524721,201018,1750.0,Yes
527532,201018,1750.0,Yes
527730,201124,1750.0,Yes
527763,201018,1750.0,Yes
528080,201018,1750.0,Yes
528240,201018,2020.0,Yes
531897,201018,1377.0,Yes
536336,201018,2000.0,Yes
537153,201018,1483.0,Yes
537456,201018,1750.0,Yes
538901,201344,1750.0,No
539831,201018,1750.0,Yes
543016,201564,1800.0,Yes
543256,201018,790.0,Yes
543604,201018,1750.0,Yes
543638,201018,1048.0,No
543866,201018,998.0,Yes
544013,201018,1750.0,Yes
544153,201018,2236.0,Yes
432957,201018,1750.0,No
354741,201344,1900.0,Yes
350335,201344,1900.0,Yes
447489,201234,1800.0,Yes
342757,201124,1750.0,Yes
545448,201018,1750.0,Yes
545242,201018,1750.0,Yes
546289,201124,1750.0,Yes
546792,201018,1750.0,Yes
546930,201018,2400.0,Yes
546919,201018,1750.0,Yes
547075,201128,2494.0,Yes
547059,201018,1750.0,Yes
547225,201018,1750.0,Yes
304300,201904,1900.0,Yes
309390,201344,3000.0,No
482802,201018,356.0,Yes
482821,201018,1750.0,No
484918,201344,1250.0,Yes
321957,201018,3300.0,Yes
321737,201344,1900.0,No
490314,201128,1750.0,Yes
491804,201018,750.0,Yes
332899,201234,1900.0,No
333515,201344,2400.0,Yes
47003,201018,1750.0,Yes
547646,201018,1750.0,Yes
547865,201018,2990.0,Yes
548296,201018,2050.0,Yes
549320,201018,1750.0,Yes
550727,201018,1091.0,Yes
550750,201018,3578.0,Yes
550851,201128,1750.0,Yes
550884,201018,1750.0,Yes
550946,201234,1900.0,Yes
550981,201018,2500.0,Yes
551126,201018,1750.0,Yes
551245,201018,2100.0,Yes
551926,201018,718.0,Yes
551937,201018,1500.0,Yes
551959,201018,1127.0,Yes
552088,201018,1200.0,Yes
553095,201458,1900.0,Yes
553175,201018,1750.0,Yes
553444,201018,2313.0,Yes
553612,201018,3250.0,No
553684,201018,3320.0,No
553758,201018,111.0,Yes
553883,201018,1750.0,Yes
553959,201018,2133.0,Yes
554264,201458,1900.0,Yes
554407,201124,1750.0,Yes
554611,201018,0.0,Yes
554641,201018,1750.0,Yes
554849,201018,2950.0,Yes
554853,201018,2375.0,Yes
554935,201018,1123.0,Yes
554954,201018,1750.0,Yes
555178,201018,390.0,Yes
555545,201018,1699.0,Yes
555854,201018,1750.0,Yes
555862,201124,643.0,Yes
555923,201018,1750.0,Yes
555945,201018,2311.0,No
555956,201018,0.0,Yes
556074,201124,1750.0,Yes
556101,201018,1750.0,Yes
556215,201018,2200.0,Yes
556297,201018,1750.0,Yes
556318,201018,1750.0,Yes
556329,201018,2474.0,Yes
556458,201018,1750.0,Yes
556514,201234,1900.0,Yes
556594,201018,3600.0,Yes
556737,201018,1750.0,Yes
556921,201018,1750.0,Yes
556925,201124,2327.0,Yes
556936,201018,792.0,Yes
557278,201018,1500.0,Yes
557792,201018,1750.0,Yes
557976,201018,1260.0,Yes
558157,201018,1750.0,Yes
558306,201018,1750.0,Yes
558739,201124,1750.0,Yes
558968,201018,1750.0,Yes
559248,201018,2515.0,Yes
559422,201018,0.0,Yes
559490,201018,0.0,Yes
560121,201124,2250.0,Yes
560634,201018,735.0,Yes
560692,201124,2850.0,No
560803,201018,1750.0,Yes
560956,201018,1750.0,Yes
561293,201124,0.0,Yes
561365,201124,1750.0,Yes
561367,201018,2825.0,Yes
561380,201124,1270.0,Yes
561443,201124,955.0,Yes
561612,201018,1750.0,Yes
561648,201018,1750.0,Yes
562279,201018,1750.0,Yes
562666,201124,1750.0,No
562743,201018,1750.0,Yes
563129,201018,3650.0,Yes
563249,201018,1750.0,Yes
563312,201018,1750.0,Yes
563333,201018,0.0,Yes
563503,201018,1750.0,No
563627,201018,1750.0,Yes
563668,201018,1750.0,Yes
563682,201018,1750.0,Yes
563834,201018,3199.0,Yes
563855,201018,3934.0,Yes
563856,201018,1750.0,Yes
563895,201018,250.0,Yes
564204,201018,1750.0,Yes
564939,201344,1800.0,Yes
564996,201018,1750.0,Yes
565162,201018,1750.0,Yes
565176,201018,1750.0,Yes
565392,201124,1750.0,Yes
565434,201018,1460.0,No
565444,201018,301.0,Yes
565588,201018,1750.0,Yes
565660,201018,1750.0,No
565664,201018,89.0,Yes
566052,201018,0.0,No
566117,201018,1750.0,Yes
566125,201018,150.0,Yes
566172,201018,1750.0,No
566300,201018,1750.0,Yes
566332,201018,2250.0,Yes
566465,201018,1432.0,Yes
566687,201018,960.0,Yes
566690,201018,450.0,Yes
566855,201124,1750.0,Yes
567145,201018,3500.0,No
567502,201018,2400.0,Yes
567829,201018,1750.0,Yes
567890,201018,2000.0,Yes
568009,201018,0.0,Yes
568048,201018,2325.0,Yes
568110,201018,999.0,Yes
568121,201018,1750.0,Yes
568324,201018,109.0,Yes
568371,201018,3599.0,Yes
568395,201018,4750.0,Yes
568430,201018,1750.0,Yes
568573,201018,1750.0,Yes
568614,201018,1750.0,No
568838,201018,3500.0,Yes
569394,201128,5000.0,Yes
569637,201018,1750.0,Yes
570873,201018,1750.0,Yes
570970,201018,757.0,Yes
571094,201018,662.0,Yes
571157,201018,1505.0,No
571198,201018,1750.0,Yes
565775,201018,1750.0,Yes
571206,201018,4000.0,Yes
571233,201018,609.0,Yes
571243,201018,1000.0,Yes
571598,201018,2378.0,Yes
571629,201018,2310.0,Yes
571657,201018,1221.0,Yes
571671,201018,1750.0,Yes
571741,201018,1166.0,Yes
571776,201018,1639.0,Yes
571871,201018,2400.0,Yes
572064,201018,397.0,Yes
572167,201018,1750.0,Yes
